"","space","transit","access","house_rules","host_since","host_about","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","zipcode","latitude","longitude","accommodates","bathrooms","bedrooms","beds","square_feet","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","reviews_per_month","occupancy_rate","EntirePlace","PrivateRoom","SharedRoom","Respond_WithinDay","Respond_WithinFewHours","Respond_WithinTheHour","Apartment","BedNBreakdast","Condominium","GuestSuite","House","Loft","Other","ServicedApartment","Townhouse","Bed_Couch","Bed_Futon","Bed_PullOutSofa","Bed_Bed","Cancel_Flexible","Cancel_Moderate","Cancel_Strict","hasTV","hasInternet","hasWifi","hasShampoo","hasHeat","hasAC","hasBreakfast","hasDesk","hasFireplace","hasIron","hasHairDryer","hasPrivateEnt","hasKitchen","isFamilyFriendly","square_meter","propertyPrice","IncomePerMonth"
"548","1","1","0","0","2012","1","0",1,"1",0,"75017",48.8775874678656,2.29135476774074,"2","1","1","1",786,95,500,60,"1",0,3,8,8,95,10,9,10,10,10,10,"0","0",1.64,0.437333333333333,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","1","1","0","1","0","1","1","0","1","0","73.021758","620977.030032",1246.4
"549","1","0","0","1","2013","1","0",1,"1",0,"75015",48.8562402185157,2.29519866604505,"4","1","1","1",301,175,250,55,"2",15,5,60,119,96,10,9,10,10,10,10,"1","0",1.73,0.461333333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1","27.963803","239957.393543",2422
"550","1","1","1","0","2013","1","0",3,"1",1,"75011",48.8669854799633,2.37244509961383,"2","1","0","1",452,40,200,20,"1",5,1,1125,11,89,9,9,10,9,8,8,"0","0",0.41,0.109333333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","0","0","0","0","1","0","0","1","1","41.992156","342697.985116",131.2
"551","1","1","1","0","2013","1","0",2,"1",0,"75004",48.8598844627178,2.3539761629517,"6","1","2","3",474,160,500,55,"4",40,2,700,201,91,9,9,10,10,10,9,"0","0",2.93,0.781333333333333,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","0","1","0","1","1","44.036022","513239.83641",3750.4
"552","1","1","0","1","2013","1","0",2,"1",1,"75003",48.8683276845228,2.36036525836711,"2","1","0","1",161,65,250,0,"1",0,2,2,61,87,9,9,10,10,10,9,"0","0",0.95,0.253333333333333,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","14.957383","154001.215368",493.999999999999
"553","1","1","0","1","2013","1","0",2,"1",1,"75017",48.8921071349713,2.32280403263938,"6","2","2","4",883,138,499,38,"5",20,3,1125,9,88,9,9,10,10,9,8,"0","0",0.13,0.0346666666666667,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","0","0","1","1","0","1","1","82.033349","697611.599896",143.52
"554","1","1","1","1","2013","1","0",1,"1",0,"75019",48.8791959718116,2.37427633109817,"4","1","2","2",592,75,500,0,"4",5,3,30,2,87,9,8,9,10,7,9,"0","0",0.04,0.0106666666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","1","1","54.998576","357875.734032",24.0000000000001
"555","1","1","1","1","2013","1","1",1,"1",1,"75018",48.894868631399,2.34988842246257,"4","2","2","2",657,90,200,50,"2",15,5,1125,98,96,10,9,10,10,8,9,"0","0",1.43,0.381333333333333,"1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","1","0","0","1","0","1","1","0","1","1","61.037271","452896.55082",1029.6
"556","1","1","0","1","2010","1","1",1,"1",1,"75018",48.891350493937,2.33445634541452,"4","2","2","2",646,130,500,60,"2",34,2,90,232,95,10,10,10,10,10,9,"1","0",50.07,1,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","1","0","0","1","0","1","1","0","1","0","60.015338","445313.80796",3900
"557","1","1","1","1","2012","1","0",1,"1",1,"75018",48.882599550551,2.33658075489825,"2","1","1","1",151,50,0,0,"1",10,2,1125,104,99,10,10,10,10,10,10,"0","0",1.52,0.405333333333333,"0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","1","0","0","0","1","0","1","1","14.028353","104090.37926",607.999999999999
